OverallQual,CentralAir_Y,Exterior2nd_VinylSd,BsmtExposure_No,FullBath,Fireplaces,RoofStyle_Gable,FireplaceQu_Ex,MSZoning_RL,1stFlrSF,GarageFinish_0,Baths,FireplaceQu_Gd,Foundation_CBlock,BsmtQual_Gd,YearBuilt,RoofStyle_Hip,GarageCond_TA,KitchenQual_Ex,TotRmsAbvGrd,Neighborhood_NridgHt,HeatingQC_Ex,has_OpenPorchSF,MSSubClass_30,YearRemodAdd,GarageArea,LotShape_IR1,LotShape_Reg,Foundation_PConc,TotalBsmtSF,BsmtExposure_Gd,HouseStyle_2Story,GarageType_0,Electrical_SBrkr,GarageQual_TA,has_WoodDeckSF,GarageType_Attchd,GarageType_BuiltIn,GarageYrBlt,ExterQual_Ex,BsmtFinSF1,MasVnrArea,MSZoning_RM,BsmtQual_Ex,SaleType_WD,GarageType_Detchd,GarageQual_0,Neighborhood_StoneBr,open_outside_areas,GarageCars,HeatingQC_TA,ExterQual_TA,PavedDrive_Y,PavedDrive_N,roominess,HalfBath,SaleCondition_Partial,ExterQual_Gd,GarageCond_0,BsmtFullBath,OpenPorchSF,BsmtFinType1_GLQ,MasVnrType_Stone,Foundation_BrkTil,MasVnrType_None,Exterior1st_VinylSd,BsmtQual_TA,WoodDeckSF,has_MasVnrArea,GarageFinish_Fin,KitchenQual_Gd,GrLivArea,MSSubClass_60,SaleType_New,CentralAir_N,LotFrontage,2ndFlrSF,BsmtUnfSF,KitchenQual_TA,Neighborhood_NoRidge,GarageFinish_Unf,LotArea,FireplaceQu_0,SalePrice
5,1,0,1,1,1,1,0,0,1060,0,2.0,0,0,1,1976,0,1,0,6,0,0,1,0,1976,572,0,1,1,1040,0,0,0,1,1,1,1,0,1976.0,0,840,0.0,1,0,1,0,0,0,1,2,1,1,1,0,176.66666666666666,0,0,0,0,1,110,1,0,0,1,0,0,100,0,0,0,1060,0,0,0,44.0,0,200,1,0,1,4224,0,129900
5,1,0,0,1,1,1,0,1,1060,0,2.0,0,1,0,1968,0,1,0,6,0,1,1,0,2001,270,1,0,0,1060,0,0,0,1,1,1,1,0,1968.0,0,188,0.0,0,0,1,0,0,0,1,1,0,1,1,0,176.66666666666666,0,0,0,0,1,90,0,0,0,1,0,1,406,0,0,1,1060,0,0,0,70.04995836802665,0,204,0,0,1,8246,0,154000
8,1,1,1,2,1,1,0,1,1600,0,2.0,1,0,1,2007,0,1,0,7,1,1,1,0,2007,890,0,1,1,1566,0,0,0,1,1,0,1,0,2007.0,0,0,640.0,0,0,1,0,0,0,1,3,0,0,1,0,228.57142857142858,0,0,1,0,0,56,0,1,0,0,1,0,0,1,0,1,1600,0,0,0,110.0,0,1566,0,0,0,14230,0,256300
5,1,0,0,1,0,1,0,1,900,0,1.5,0,1,0,1951,0,1,0,5,0,0,1,0,2000,576,0,1,0,900,0,0,0,1,1,1,0,0,2005.0,0,234,0.0,0,0,1,1,0,0,1,2,1,1,1,0,180.0,0,0,0,0,0,32,0,0,0,1,0,1,222,0,0,1,900,0,0,0,60.0,0,180,0,0,1,7200,1,134800
8,1,1,1,2,1,1,0,1,1704,0,3.0,1,0,0,2007,0,1,0,7,1,1,1,0,2008,772,0,1,1,1704,0,0,0,1,1,0,1,0,2008.0,0,1218,200.0,0,1,1,0,0,0,1,3,0,0,1,0,243.42857142857142,0,0,1,0,1,50,1,1,0,0,1,0,0,1,0,1,1704,0,0,0,98.0,0,486,0,0,0,11478,0,306000
5,1,0,0,1,2,1,0,1,1600,0,2.0,1,1,0,1957,0,1,0,6,0,0,1,0,1997,319,1,0,0,1484,1,0,0,1,1,1,1,0,1957.0,0,1277,0.0,0,0,1,0,0,0,1,1,1,1,1,0,266.6666666666667,0,0,0,0,1,258,0,0,0,1,0,1,288,0,0,0,1600,0,0,0,47.0,0,207,1,0,0,16321,0,207500
4,0,0,1,1,0,1,0,0,520,0,1.0,0,0,0,1927,0,1,0,4,0,0,0,1,1950,240,1,0,0,520,0,0,0,1,0,1,0,0,1920.0,0,0,0.0,1,0,1,1,0,0,1,1,0,1,1,0,130.0,0,0,0,0,0,0,0,0,1,1,0,1,49,0,0,0,520,0,0,1,60.0,0,520,0,0,1,6324,1,68500
4,0,0,1,1,0,0,0,0,649,0,1.0,0,0,0,1920,0,0,0,6,0,0,1,0,1950,250,0,1,0,649,0,1,0,1,1,0,0,0,1920.0,0,0,0.0,0,0,1,1,0,0,1,1,1,1,0,1,219.5,0,0,0,0,0,54,0,0,1,1,0,1,0,0,0,0,1317,0,0,1,50.0,668,649,1,0,1,8500,1,40000
5,1,0,1,1,0,1,0,1,1228,0,1.5,0,1,0,1966,0,1,0,6,0,0,1,0,2006,271,1,0,0,1228,0,0,0,1,1,0,1,0,1966.0,0,0,0.0,0,0,1,0,0,0,1,1,0,1,1,0,204.66666666666666,1,0,0,0,0,65,0,0,0,1,0,1,0,0,0,1,1228,0,0,0,70.04995836802665,0,1228,0,0,1,8544,1,149350
8,1,1,0,2,0,1,0,1,1234,0,2.0,0,0,0,2007,0,1,0,7,0,1,1,0,2007,484,0,1,1,1234,0,0,0,1,1,0,1,0,2007.0,0,0,0.0,0,1,1,0,0,0,1,2,0,0,1,0,176.28571428571428,0,0,1,0,0,30,0,0,0,1,1,0,0,0,0,1,1234,0,0,0,85.0,0,1234,0,0,0,11049,1,179900
5,1,0,1,1,1,0,0,1,1700,0,2.0,1,1,0,1959,1,1,0,6,0,0,1,0,1959,447,1,0,0,1398,0,0,0,1,1,0,1,0,1959.0,0,1018,0.0,0,0,1,0,0,0,1,2,0,1,1,0,283.3333333333333,1,0,0,0,0,38,0,0,0,1,0,1,0,0,0,1,1700,0,0,0,70.0,0,380,0,0,0,10552,0,165500
9,1,0,1,2,1,0,0,1,1561,0,3.0,1,0,0,2005,1,1,1,6,1,1,1,0,2005,556,0,1,1,1561,0,0,0,1,1,1,1,0,2005.0,1,1153,246.0,0,1,1,0,0,0,1,2,0,0,1,0,260.1666666666667,0,0,0,0,1,47,1,0,0,0,0,0,203,1,1,0,1561,0,0,0,60.0,0,408,0,0,0,7313,0,277500
8,1,1,0,3,1,1,0,1,1132,0,3.5,1,0,0,2004,0,1,0,9,1,1,1,0,2005,691,0,1,1,1117,0,1,0,1,1,1,0,1,2004.0,0,0,132.0,0,1,1,0,0,0,1,3,0,0,1,0,272.44444444444446,1,0,1,0,0,32,0,1,0,0,1,0,113,1,1,1,2452,1,0,0,108.0,1320,1117,0,0,0,13418,0,309000
5,1,1,1,1,0,1,0,1,1097,0,1.5,0,0,1,1994,0,1,0,6,0,1,1,0,1995,672,0,1,1,1097,0,0,0,1,1,1,1,0,1995.0,0,0,0.0,0,0,1,0,0,0,1,2,0,1,1,0,182.83333333333334,1,0,0,0,0,64,0,0,0,1,1,0,392,0,0,0,1097,0,0,0,112.0,0,1097,1,0,1,10859,1,145000
5,1,0,1,1,1,0,0,1,1297,0,1.5,0,1,0,1954,1,1,0,5,0,0,0,0,1990,498,0,1,0,1297,0,0,0,1,1,0,1,0,1954.0,0,1213,650.0,0,0,1,0,0,0,0,2,0,1,1,0,259.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1297,0,0,0,74.0,0,84,1,0,0,8532,0,153000
5,1,1,1,1,0,1,0,1,1057,0,2.0,0,1,0,1953,0,1,0,5,0,0,1,0,2007,246,0,1,0,1057,0,0,0,1,1,0,0,0,1953.0,0,731,0.0,0,0,1,1,0,0,1,1,1,1,1,0,211.4,0,0,0,0,1,52,1,0,0,1,1,1,0,0,0,1,1057,0,0,0,68.0,0,326,0,0,1,7922,1,109000
4,0,0,0,2,0,1,0,1,1152,1,2.0,0,0,0,1955,0,0,0,6,0,0,0,0,1955,0,0,1,1,0,0,0,1,0,0,0,0,0,1978.5061638868744,0,0,0.0,0,0,1,0,1,0,0,0,1,1,0,1,192.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1152,0,0,1,65.0,0,0,0,0,0,6040,1,82000
6,1,0,1,2,1,1,0,1,1324,0,2.0,0,1,0,1965,0,1,0,6,0,1,1,0,1965,440,0,1,0,1088,0,0,0,1,1,0,1,0,1965.0,0,643,101.0,0,0,1,0,0,0,1,2,0,1,1,0,220.66666666666666,0,0,0,0,0,138,0,0,0,0,0,1,0,1,0,0,1324,0,0,0,84.0,0,445,1,0,0,8658,0,160000
5,1,1,0,1,2,1,0,1,1328,0,2.0,1,1,0,1959,0,1,0,5,0,0,1,0,1959,308,0,1,0,1350,1,0,0,1,1,0,1,0,1959.0,0,967,0.0,0,0,1,0,0,0,1,1,0,1,0,0,265.6,1,0,0,0,0,104,0,0,0,1,1,1,0,0,0,0,1328,0,0,0,115.0,0,383,1,0,0,16905,0,170000
5,1,0,0,1,0,1,0,1,884,0,2.0,0,1,1,1983,0,0,0,5,0,0,0,0,1983,504,1,0,0,840,0,0,0,1,1,1,1,0,1983.0,0,747,0.0,0,0,1,0,0,0,1,2,0,1,1,0,176.8,0,0,0,0,1,0,0,0,0,1,0,0,240,0,0,1,884,0,0,0,70.04995836802665,0,0,0,0,0,9180,1,144000
5,1,1,0,1,0,0,0,1,938,0,2.0,0,1,1,1975,1,1,0,5,0,0,0,0,1980,308,1,0,0,938,0,0,0,1,1,1,0,0,1977.0,0,280,0.0,0,0,1,1,0,0,1,1,1,1,1,0,187.6,0,0,0,0,1,0,0,0,0,1,1,0,145,0,0,0,938,0,0,0,70.04995836802665,0,167,1,0,1,9200,1,130250
5,1,0,1,1,0,1,0,1,1150,0,2.0,0,1,0,1959,0,1,0,6,0,1,0,0,1959,300,0,1,0,1150,0,0,0,0,1,0,1,0,1959.0,0,179,0.0,0,0,1,0,0,0,0,1,0,1,1,0,191.66666666666666,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1150,0,0,0,70.0,0,465,1,0,0,7945,1,141000
9,1,0,1,2,1,0,0,1,1752,0,3.0,1,0,0,2005,1,1,1,6,1,1,1,0,2005,576,0,1,1,1752,0,0,0,1,1,1,1,0,2005.0,1,456,412.0,0,1,1,0,0,0,1,2,0,0,1,0,292.0,0,0,0,0,1,82,1,0,0,0,0,0,196,1,0,0,1752,0,0,0,61.0,0,1296,0,0,0,7658,0,319900
7,1,1,1,1,1,1,1,1,1518,0,2.5,0,0,0,2003,0,1,0,6,0,1,1,0,2003,670,1,0,1,1434,0,0,0,1,1,1,1,0,2003.0,0,1351,0.0,0,1,1,0,0,0,1,2,0,0,1,0,358.1666666666667,1,0,1,0,1,43,1,0,0,1,1,0,168,0,0,1,2149,0,0,0,48.0,631,83,0,0,0,12822,0,239686
8,1,1,0,2,0,1,0,0,1656,0,2.0,0,0,1,2006,0,1,0,7,0,1,1,0,2006,826,0,1,1,1656,0,0,0,1,1,0,1,0,2006.0,0,24,0.0,0,0,1,0,0,0,1,3,0,0,1,0,236.57142857142858,0,0,1,0,0,146,1,0,0,1,1,0,0,0,0,1,1656,0,0,0,84.0,0,1632,0,0,0,11096,1,249700
4,1,0,1,2,0,1,0,0,736,1,2.0,0,0,0,1920,0,0,0,8,0,0,0,0,2008,0,0,1,0,736,0,1,1,1,0,0,0,0,1978.5061638868744,0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,181.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1452,0,1,0,33.0,716,736,1,0,0,4456,1,113000
5,1,0,1,1,0,1,0,1,955,0,2.0,0,1,0,1966,0,1,0,6,0,1,0,0,1966,386,0,1,0,955,0,0,0,1,1,0,1,0,1966.0,0,763,0.0,0,0,1,0,0,0,0,1,0,1,1,0,159.16666666666666,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,955,0,0,0,66.0,0,192,1,0,1,7742,1,127000
6,1,1,0,2,0,1,0,1,794,0,2.5,0,0,1,1997,0,1,0,6,0,0,1,0,1997,388,0,0,1,794,0,1,0,1,1,0,1,0,1997.0,0,182,0.0,0,0,1,0,0,0,1,2,0,1,1,0,245.0,0,0,0,0,0,75,1,0,0,1,1,0,0,0,1,0,1470,1,0,0,70.04995836802665,676,612,1,0,0,13869,1,177000
6,1,0,1,1,1,1,0,0,816,0,1.0,1,0,0,1934,0,1,0,6,0,0,0,0,1950,528,0,1,1,816,0,0,0,1,1,1,0,0,1985.0,0,0,0.0,1,0,1,1,0,0,1,2,1,1,1,0,196.0,0,0,0,0,0,0,0,0,0,1,0,1,112,0,0,0,1176,0,0,0,52.0,0,816,1,0,1,6240,0,114500
5,0,0,0,1,0,1,0,0,816,0,2.0,0,1,1,1963,0,1,0,5,0,0,0,0,1963,516,0,0,0,816,1,0,0,1,1,1,0,0,1963.0,0,104,0.0,1,0,1,0,0,0,1,2,1,0,1,0,163.2,0,0,0,0,1,0,0,0,0,1,0,0,106,0,0,0,816,0,0,1,110.0,0,0,1,0,1,8472,1,110000
9,1,0,0,0,1,1,0,1,1842,0,2.5,1,1,0,1981,0,1,0,5,0,0,1,0,1987,894,1,0,0,1842,1,0,0,1,1,1,1,0,1981.0,0,1810,0.0,0,1,1,0,0,0,1,3,0,0,1,0,368.4,1,0,1,0,2,72,1,0,0,1,0,0,857,0,1,1,1842,0,0,0,68.0,0,32,0,0,0,50271,0,385000
5,1,0,1,1,1,1,0,1,1360,0,1.0,0,1,0,1955,0,1,0,6,0,0,1,0,1955,572,0,1,0,384,0,0,0,1,1,0,0,0,1962.0,0,384,0.0,0,0,1,1,0,0,1,2,1,1,1,0,226.66666666666666,0,0,0,0,0,50,0,0,0,1,0,1,0,0,0,0,1360,0,0,0,60.0,0,0,1,0,1,7134,0,130000
6,1,0,1,2,1,1,0,1,1425,0,2.0,1,1,0,1964,0,1,0,7,0,0,0,0,1964,576,1,0,0,1425,0,0,0,1,1,0,1,0,1964.0,0,490,272.0,0,0,1,0,0,0,0,2,0,1,1,0,203.57142857142858,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1425,0,0,0,100.0,0,935,1,0,0,10175,0,180500
8,1,0,1,2,0,1,0,0,983,0,3.5,0,0,1,1999,0,1,0,7,0,1,0,0,2000,480,0,1,1,970,0,1,0,1,1,1,1,0,1999.0,0,649,456.0,0,0,1,0,0,0,1,2,0,0,1,0,248.42857142857142,1,0,1,0,1,0,1,0,0,0,0,0,115,1,1,1,1739,0,0,0,24.0,756,321,0,0,0,2645,1,172500
7,1,1,1,2,0,1,0,1,860,0,2.5,0,0,1,2004,0,1,0,7,0,1,1,0,2004,565,1,0,1,860,0,1,0,1,1,0,1,0,2004.0,0,0,0.0,0,0,1,0,0,0,1,2,0,0,1,0,245.71428571428572,1,0,1,0,0,70,0,0,0,1,1,0,0,0,0,1,1720,1,0,0,89.0,860,860,0,0,0,11645,1,196500
10,1,1,0,3,1,0,0,1,1426,0,3.5,1,0,0,2006,1,1,0,10,0,1,0,0,2006,641,0,0,1,1410,1,1,0,1,1,1,0,1,2006.0,1,0,1031.0,0,1,0,0,0,1,1,3,0,0,1,0,294.5,1,1,0,0,0,0,0,0,0,0,1,0,192,1,1,1,2945,1,1,0,66.0,1519,1410,0,0,0,13682,0,438780
5,1,0,0,1,0,1,0,1,780,0,1.0,0,1,0,1972,0,1,0,4,0,1,0,0,1972,352,0,1,0,780,0,0,0,1,1,1,0,0,1973.0,0,632,0.0,0,0,1,1,0,0,1,1,0,1,1,0,195.0,0,0,0,0,0,0,0,0,0,1,0,1,196,0,0,0,780,0,0,0,60.0,0,148,1,0,1,7200,1,124900
6,1,1,1,1,0,1,0,1,1158,0,2.5,0,0,1,2004,0,1,0,5,0,1,1,0,2004,576,0,1,1,1158,0,0,0,1,1,0,0,0,2006.0,0,941,0.0,0,0,0,1,0,0,1,2,0,1,1,0,231.6,1,1,0,0,1,50,0,0,0,1,1,0,0,0,0,1,1158,0,1,0,63.0,0,217,0,0,1,13072,1,158000
5,0,0,1,1,0,1,0,0,581,0,1.0,0,0,0,1920,0,1,0,6,0,0,0,0,1996,288,0,1,0,530,0,0,0,1,1,0,0,0,1935.0,0,0,0.0,1,0,1,1,0,0,0,1,1,1,0,1,185.16666666666666,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1111,0,0,1,60.0,530,530,0,0,1,7200,1,101000
8,1,1,0,2,1,1,0,1,1370,0,2.0,1,0,1,2006,0,1,0,6,1,1,1,0,2006,484,1,0,1,1370,0,0,0,1,1,1,1,0,2006.0,0,24,178.0,0,0,1,0,0,0,1,2,0,0,1,0,228.33333333333334,0,0,1,0,0,49,1,1,0,0,1,0,120,1,0,1,1370,0,0,0,44.0,0,1346,0,0,0,6442,0,202500
7,1,0,1,2,0,1,0,0,902,0,2.0,0,0,0,1921,0,1,0,9,0,0,1,0,1950,480,1,0,0,576,0,1,0,1,1,1,0,0,1990.0,0,0,0.0,1,0,1,1,0,0,1,2,0,1,1,0,190.0,0,0,0,0,0,11,0,0,1,1,0,1,12,0,0,0,1710,0,0,0,50.0,808,576,1,0,1,10300,1,140000
7,1,1,1,2,0,1,0,1,1057,0,3.5,0,0,1,1997,0,1,0,8,0,1,1,0,1998,645,0,1,1,1057,0,1,0,1,1,1,1,0,1998.0,0,739,573.0,0,0,1,0,0,0,1,2,0,1,1,0,254.25,1,0,0,0,1,36,1,0,0,0,1,0,576,1,0,1,2034,1,0,0,70.04995836802665,977,318,0,0,0,9375,1,219500
