OverallQual,MSSubClass_40,MasVnrType_BrkCmn,GarageType_Basment,CentralAir_Y,LandContour_Lvl,Exterior1st_Wd Sdng,Exterior2nd_Wd Shng,Neighborhood_Sawyer,Neighborhood_NPkVill,Exterior2nd_VinylSd,LotShape_IR2,BsmtExposure_No,RoofMatl_Tar&Grv,BldgType_Twnhs,MSZoning_FV,Functional_Sev,BsmtQual_0,FullBath,BldgType_Duplex,Fireplaces,Heating_Grav,RoofStyle_Gable,Exterior2nd_CBlock,Exterior1st_BrkFace,MSSubClass_90,Exterior2nd_Stone,GarageType_2Types,BldgType_2fmCon,FireplaceQu_Ex,HeatingQC_Gd,MSZoning_RL,LandSlope_Sev,GarageCond_Fa,Condition1_RRAe,Condition2_PosA,Exterior1st_MetalSd,1stFlrSF,ExterQual_Fa,Functional_Min1,Neighborhood_Edwards,ExterCond_Po,Condition1_RRNn,ExterCond_Fa,Exterior1st_HdBoard,MSSubClass_120,ExterCond_Gd,HouseStyle_1.5Fin,GarageFinish_0,Baths,MSSubClass_180,FireplaceQu_Gd,Neighborhood_Somerst,BsmtExposure_Mn,GarageFinish_RFn,Exterior2nd_ImStucc,MiscFeature_Gar2,Foundation_CBlock,BsmtCond_TA,GarageType_CarPort,KitchenQual_Fa,has_ScreenPorch,Exterior1st_WdShing,Foundation_Slab,BsmtQual_Gd,GarageQual_Po,MSSubClass_80,YearBuilt,RoofStyle_Hip,BsmtFinType2_LwQ,Neighborhood_NAmes,BsmtHalfBath,Exterior1st_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,GarageCond_TA,LandContour_Low,MiscFeature_Shed,KitchenQual_Ex,Fence_GdWo,LotConfig_FR2,Neighborhood_MeadowV,BsmtCond_Po,BsmtFinType2_Rec,Condition2_Feedr,Foundation_Wood,MoSold,Exterior2nd_AsbShng,TotRmsAbvGrd,SaleType_Con,Neighborhood_NridgHt,Id,HeatingQC_Ex,MiscFeature_0,has_OpenPorchSF,RoofMatl_WdShngl,MSSubClass_30,Exterior2nd_AsphShn,YearRemodAdd,GarageArea,LotShape_IR1,LotShape_Reg,Neighborhood_SawyerW,Foundation_PConc,MSSubClass_20,Fence_MnPrv,PoolQC_0,HouseStyle_2.5Unf,SaleCondition_Alloca,Exterior2nd_Plywood,MSSubClass_50,MSSubClass_85,TotalBsmtSF,PoolQC_Gd,Foundation_Stone,Neighborhood_IDOTRR,BldgType_1Fam,HouseStyle_SFoyer,BsmtExposure_Gd,HouseStyle_2Story,Condition1_RRAn,KitchenAbvGr,HouseStyle_SLvl,PavedDrive_P,GarageType_0,LotShape_IR3,Alley_0,BsmtFinType2_GLQ,RoofStyle_Mansard,Electrical_SBrkr,PoolQC_Ex,GarageQual_TA,Electrical_FuseF,has_WoodDeckSF,MSSubClass_160,RoofMatl_CompShg,Exterior1st_Plywood,SaleType_ConLD,Condition1_RRNe,BsmtFinType2_ALQ,MSSubClass_45,Exterior2nd_CmentBd,GarageType_Attchd,GarageType_BuiltIn,GarageYrBlt,SaleType_ConLI,ExterQual_Ex,BsmtFinSF1,Neighborhood_SWISU,MasVnrArea,Fence_GdPrv,Heating_GasA,GarageCond_Gd,MSZoning_RM,Neighborhood_Mitchel,SaleType_ConLw,BsmtQual_Ex,PoolArea,Condition2_Norm,Heating_Wall,BsmtFinType2_Unf,SaleType_WD,GarageType_Detchd,GarageQual_0,BldgType_TwnhsE,Neighborhood_StoneBr,Functional_Min2,BsmtFinSF2,Fence_MnWw,EnclosedPorch,Exterior1st_Stucco,Exterior2nd_HdBoard,Neighborhood_Veenker,RoofMatl_WdShake,open_outside_areas,BsmtFinType1_LwQ,ExterCond_TA,LotConfig_Inside,HouseStyle_1.5Unf,ScreenPorch,Condition2_PosN,GarageCars,Neighborhood_BrkSide,RoofStyle_Flat,HeatingQC_TA,ExterQual_TA,has_PoolArea,RoofStyle_Shed,SaleCondition_Abnorml,BsmtFinType2_0,Exterior1st_BrkComm,Alley_Pave,PavedDrive_Y,PavedDrive_N,Condition1_Norm,Condition1_Feedr,Exterior1st_AsbShng,Neighborhood_Crawfor,roominess,HalfBath,BsmtFinType1_0,MasVnrType_0,SaleCondition_Partial,SaleType_CWD,BsmtExposure_Av,LotConfig_CulDSac,LandSlope_Gtl,ExterQual_Gd,BsmtFinType2_BLQ,GarageCond_0,Exterior2nd_Wd Sdng,Neighborhood_Blueste,LandContour_Bnk,FireplaceQu_Po,BsmtFullBath,Exterior2nd_Stucco,SaleType_COD,MSSubClass_75,Functional_Typ,GarageQual_Gd,Neighborhood_Blmngtn,OpenPorchSF,Condition1_Artery,MSZoning_RH,Neighborhood_Gilbert,LotConfig_Corner,BsmtFinType1_GLQ,Street_Grvl,Neighborhood_OldTown,MasVnrType_Stone,ExterCond_Ex,Foundation_BrkTil,MasVnrType_None,BsmtCond_Gd,Exterior1st_VinylSd,MSZoning_C (all),Exterior1st_CBlock,RoofStyle_Gambrel,MSSubClass_190,BsmtQual_TA,LowQualFinSF,MSSubClass_70,WoodDeckSF,Fence_0,Condition1_PosA,has_MasVnrArea,Electrical_FuseP,Utilities_AllPub,has_LowQualFinSF,BsmtFinType1_Rec,Neighborhood_CollgCr,MiscVal,Neighborhood_NWAmes,BsmtCond_0,GarageFinish_Fin,BsmtQual_Fa,Exterior2nd_MetalSd,BsmtExposure_0,has_3SsnPorch,Functional_Maj2,KitchenQual_Gd,3SsnPorch,LandSlope_Mod,MiscFeature_Othr,GrLivArea,GarageQual_Fa,Street_Pave,FireplaceQu_Fa,MSSubClass_60,door_porch,HouseStyle_1Story,has_EnclosedPorch,GarageCond_Ex,Exterior1st_CemntBd,SaleCondition_Family,Neighborhood_BrDale,SaleType_New,Neighborhood_Timber,HeatingQC_Fa,SaleCondition_Normal,YrSold,CentralAir_N,SaleType_Oth,OverallCond,Electrical_FuseA,LotFrontage,2ndFlrSF,GarageCond_Po,Functional_Mod,BsmtFinType1_Unf,MasVnrType_BrkFace,BsmtUnfSF,Heating_GasW,KitchenQual_TA,BedroomAbvGr,Neighborhood_NoRidge,BsmtFinType1_ALQ,Alley_Grvl,GarageFinish_Unf,Condition1_PosN,has_MiscVal,FireplaceQu_TA,Condition2_Artery,LandContour_HLS,Neighborhood_ClearCr,BsmtCond_Fa,LotConfig_FR3,BsmtFinType1_BLQ,LotArea,HeatingQC_Po,SaleCondition_AdjLand,FireplaceQu_0,Functional_Maj1,SalePrice
6,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,199,1,1,1,0,0,0,1950,0,0,1,0,0,0,1,1,0,0,0,0,0,755,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1978.5061638868744,0,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,278.625,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,198,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,371,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2009,0,0,6,0,92.0,929,0,0,1,0,755,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,0,0,1,0,104000
8,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2004,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,7,0,1,200,1,1,1,0,0,0,2005,856,0,1,0,1,1,0,1,0,0,0,0,0,1713,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2004.0,0,0,1088,0,262.0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,170,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,244.71428571428572,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1713,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2009,0,0,5,0,76.0,0,0,0,0,1,625,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9591,0,0,0,0,274900
4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,201,1,1,1,0,0,0,2004,440,0,1,0,1,1,0,1,0,0,0,0,0,1121,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2003.0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,224.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2010,0,0,5,0,80.0,0,0,0,1,0,1121,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8546,0,0,1,0,140000
6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1977,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,202,0,1,1,0,0,0,1977,473,0,1,0,0,1,1,1,0,0,1,0,0,1196,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1980.0,0,0,641,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,279,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,213.16666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2008,0,0,6,0,75.0,0,0,0,0,0,276,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,10125,0,0,0,0,171500
6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,865,0,1,0,0,0,0,0,0,1,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1924,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,203,0,1,0,0,0,0,1950,398,0,1,0,0,0,0,1,0,0,0,1,0,617,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1924.0,0,0,617,0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,126,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,218.33333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1310,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2006,0,0,6,0,50.0,445,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7000,0,0,1,0,112000
6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,204,1,1,0,0,0,0,2004,420,0,1,0,1,0,0,1,0,0,0,0,0,848,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2004.0,0,0,662,0,205.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,282.6666666666667,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,149,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,848,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2008,0,0,5,0,70.04995836802665,0,0,0,0,1,186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4438,0,0,0,0,149000
5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1947,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,205,0,1,1,0,0,0,1950,240,0,1,0,0,0,0,1,0,0,0,1,0,720,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1948.0,0,0,312,0,0.0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,256.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,0,0,7,0,50.0,564,0,0,0,0,408,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3500,0,0,1,0,110000
7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1442,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,206,1,1,1,0,0,0,1990,500,0,1,0,1,1,0,1,0,0,0,0,0,1424,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1990.0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,288.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,508,0,0,1442,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2009,0,0,5,0,99.0,0,0,0,1,0,1424,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11851,0,0,1,0,180500
5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1696,0,0,0,0,0,0,1,0,1,0,0,1.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1962,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,207,0,1,1,0,0,0,1962,349,1,0,0,0,1,0,1,0,0,0,0,0,1140,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1962.0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,212.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2007,0,0,5,0,40.0,0,0,0,1,0,1140,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,13673,0,0,0,0,143900
4,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1960,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,6,0,0,208,0,1,0,0,0,0,1960,312,1,0,0,1,1,0,1,0,0,0,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1960.0,0,0,419,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,306,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,183.33333333333334,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2008,0,0,5,0,70.04995836802665,0,0,0,0,0,375,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,12493,0,0,0,0,141000
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,3.5,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1988,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,7,0,0,209,1,1,1,0,0,0,1989,454,1,0,1,0,0,0,1,0,0,1,0,0,1157,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1988.0,0,0,1065,0,128.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,154,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,294.57142857142856,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2062,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2007,0,0,5,0,70.04995836802665,882,0,0,0,1,92,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14364,0,0,0,0,277000
6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1092,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1964,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,210,1,1,0,0,0,0,1964,504,0,1,0,0,1,1,1,0,0,0,0,0,1092,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1964.0,0,0,787,0,260.0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,182.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2008,0,0,7,0,75.0,0,0,0,0,0,305,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8250,0,0,1,0,145000
5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,864,0,0,1,0,0,0,0,0,0,0,1,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,211,0,1,0,0,1,0,1950,0,0,1,0,0,0,0,1,0,0,0,0,0,864,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1978.5061638868744,0,0,468,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,96,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,172.8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2008,1,0,6,1,67.0,0,0,0,0,0,396,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5604,0,0,1,0,98000
6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1212,0,0,1,0,0,0,0,0,0,0,0,2.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,212,1,1,1,0,0,0,2009,460,0,1,0,1,1,0,1,0,0,0,0,0,1212,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2009.0,0,0,36,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,202.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1212,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2010,0,0,5,0,83.0,0,0,0,0,0,1176,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10420,0,0,1,0,186000
7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,213,1,1,1,0,0,0,2009,644,0,1,0,1,0,0,1,0,0,0,0,0,900,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2009.0,0,0,822,0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,264.57142857142856,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,108,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,168,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1852,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2009,0,0,5,0,72.0,920,0,0,0,0,78,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,8640,0,0,0,0,252678
5,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,214,1,1,0,0,0,0,1995,576,0,0,0,1,1,0,1,0,0,0,0,0,990,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1996.0,0,0,716,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,198.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,224,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,990,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2006,0,0,5,0,43.0,0,0,0,0,0,274,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,13568,0,0,1,0,156000
