1stFlrSF,Baths,BsmtFinType1_GLQ,BsmtQual_Ex,ExterQual_Ex,ExterQual_TA,Fireplaces,GarageCars,GarageFinish_Fin,GarageFinish_Unf,GrLivArea,HeatingQC_Ex,KitchenQual_Ex,KitchenQual_TA,MasVnrArea,Neighborhood_NridgHt,OverallQual,SalePrice,YearBuilt,YearRemodAdd,has_OpenPorchSF
1586,2.0,0,0,0,1,1,2,0,1,1586,0,0,1,0.0,0,6,181000,1979,1998,0
520,2.0,1,0,0,1,0,0,0,0,754,0,0,1,0.0,0,6,84500,1935,1982,0
958,2.0,0,0,0,1,1,2,0,0,958,0,0,1,0.0,0,6,128000,1976,1976,1
840,1.0,0,0,0,1,1,0,0,0,840,1,0,1,0.0,0,5,87000,1930,1950,0
660,1.5,0,0,0,1,1,2,0,0,1348,0,0,1,266.0,0,6,155000,1966,1966,1
1053,2.0,0,0,0,1,0,2,0,0,1053,0,1,0,85.0,0,5,150000,1958,1991,1
1216,2.5,0,0,0,1,2,2,1,0,2157,1,0,0,309.0,0,7,226000,1966,1966,1
1022,3.5,1,0,0,0,1,2,0,0,2054,1,0,0,40.0,0,6,244000,2000,2000,1
1327,2.0,0,0,0,1,0,2,0,1,1327,0,0,0,0.0,0,5,150750,1959,2002,0
1296,3.0,1,1,0,0,0,2,1,0,1296,1,0,0,136.0,0,8,220000,2001,2002,1
1721,2.5,0,0,0,1,1,2,0,0,1721,0,0,1,0.0,0,5,180000,1968,1993,1
1682,2.0,0,0,0,1,1,2,0,1,1682,0,0,1,288.0,0,7,174000,1970,1970,0
1214,2.0,0,0,0,1,1,1,0,0,1214,0,0,1,196.0,0,5,143000,1967,1967,1
1959,3.0,0,0,0,1,0,3,0,1,1959,0,0,1,70.0,0,7,171000,1988,1989,0
1004,2.5,1,0,0,0,2,3,1,0,1852,1,0,0,320.0,0,8,230000,1999,2000,1
928,3.5,1,0,0,1,0,2,0,0,1764,1,0,0,0.0,0,6,231500,1997,1997,1
864,1.0,0,0,0,1,1,0,0,0,864,0,0,1,0.0,0,4,115000,1971,1971,0
1734,3.0,1,0,0,0,0,2,1,0,1734,1,0,0,0.0,0,7,260000,2005,2005,1
910,2.0,0,0,0,1,0,2,0,1,1385,0,0,1,0.0,0,5,166000,1952,1952,0
1501,3.0,1,0,0,0,0,2,0,0,1501,1,0,0,183.0,0,7,204000,1999,1999,1
1728,3.0,0,0,0,1,0,2,0,1,1728,0,0,1,336.0,0,5,125000,1963,1963,0
970,2.0,0,0,0,0,0,2,0,1,1709,1,0,0,50.0,0,6,130000,2004,2006,1
875,2.0,0,0,0,1,0,1,0,1,875,0,0,1,0.0,0,5,105000,1931,1993,0
884,2.5,0,0,0,0,1,2,1,0,2035,1,0,0,180.0,0,7,222500,2001,2001,1
1080,2.0,1,0,0,1,0,0,0,0,1080,1,0,0,120.0,0,7,141000,2004,2005,0
896,1.0,0,0,0,1,0,1,0,1,1344,0,0,1,0.0,0,5,115000,1936,1950,1
969,1.5,0,0,0,1,0,2,0,1,969,0,0,1,0.0,0,5,122000,1975,1975,0
1710,3.0,1,1,0,0,1,3,0,0,1710,1,0,0,436.0,1,8,372402,2007,2008,1
1097,2.5,0,0,0,1,1,2,0,0,1993,0,0,1,252.0,0,6,190000,1971,1971,1
1252,2.0,0,0,0,1,1,2,0,0,1252,0,0,1,0.0,0,6,235000,1960,1975,0
1200,1.0,0,0,0,1,0,1,0,1,1200,0,0,1,0.0,0,6,125000,1923,1950,0
572,1.0,0,0,0,1,0,0,0,0,1096,0,0,1,0.0,0,6,79000,1924,1950,1
1040,1.0,0,0,0,1,0,2,0,1,1040,0,0,1,0.0,0,5,109500,1950,1950,0
774,2.5,0,1,0,0,1,3,1,0,1968,1,1,0,84.0,0,8,269500,2009,2010,1
991,2.5,1,0,0,0,1,2,0,0,1947,1,0,0,0.0,0,7,254900,2004,2005,1
1392,3.5,1,0,0,0,1,2,0,0,2462,1,0,0,456.0,0,7,320000,2005,2006,1
1232,2.0,0,0,0,1,0,2,0,1,1232,0,0,1,0.0,0,6,162500,1984,1984,0
1572,3.5,1,1,0,0,2,3,1,0,2668,1,1,0,664.0,1,9,412500,2003,2004,0
1541,2.0,0,0,0,0,1,2,0,0,1541,1,0,0,226.0,1,7,220000,2005,2005,1
882,1.0,0,0,0,1,0,0,0,0,882,1,0,1,0.0,0,4,103200,1956,1956,0
1149,2.0,0,0,0,1,0,1,0,1,1616,0,0,0,0.0,0,6,152000,1926,2004,0
808,3.0,0,0,0,1,0,0,0,0,1355,0,0,1,0.0,0,5,127500,1940,1999,0
1867,2.0,0,0,0,0,3,1,1,0,1867,1,0,1,0.0,0,5,190000,1955,1993,0
1610,2.5,1,1,0,0,1,3,1,0,2161,1,1,0,300.0,1,8,325624,2007,2007,1
840,2.5,0,0,0,0,1,2,1,0,1720,1,0,0,0.0,0,7,183500,2004,2004,1
1707,2.5,0,0,0,0,1,2,0,0,1707,0,0,1,653.0,0,8,228000,1981,1981,1
854,1.5,0,0,0,1,0,2,0,1,1382,0,0,1,0.0,0,5,128500,1941,1950,0
1656,2.0,0,0,0,1,2,2,1,0,1656,0,0,1,112.0,0,6,215000,1960,1960,1
1064,3.0,1,0,0,0,1,2,0,0,1767,0,0,0,0.0,0,7,239000,1987,1987,1
1362,2.5,0,0,0,1,1,2,0,1,1362,0,0,1,491.0,0,6,163000,1961,1961,1
1651,3.0,0,0,0,1,1,2,1,0,1651,0,0,1,132.0,0,6,184000,1986,1986,0
2158,3.0,0,0,0,1,1,2,0,1,2158,0,0,0,0.0,0,6,243000,1950,2001,1
1164,3.0,1,0,0,0,1,2,0,1,2060,0,0,1,268.0,0,6,211000,1988,1989,1
1252,3.0,0,0,0,0,1,2,0,1,1920,1,0,0,0.0,0,5,172500,1958,1958,0
2234,3.0,1,1,1,0,1,3,1,0,2234,1,1,0,748.0,0,9,501837,2008,2009,1
968,1.0,0,0,0,0,0,2,0,1,968,0,0,1,0.0,0,5,100000,1923,2006,0
769,2.5,1,0,0,0,1,2,0,1,1525,1,0,0,456.0,0,6,177000,2000,2000,0
901,1.5,0,0,0,1,1,1,0,1,1802,0,0,1,0.0,0,7,200100,1920,1950,0
1340,1.0,0,0,0,1,1,1,0,0,1340,1,0,1,98.0,0,5,120000,1957,2006,0
1362,2.5,0,0,0,1,0,2,0,1,2082,1,0,0,0.0,0,7,200000,2003,2003,1
936,1.0,0,0,0,1,0,2,0,1,1252,0,0,1,0.0,0,5,127000,1908,1991,0
1518,2.5,0,0,0,0,2,3,0,1,3608,1,1,0,0.0,0,10,475000,1892,1993,1
1217,3.0,1,0,0,1,0,2,0,1,1217,1,0,0,0.0,0,7,173000,1990,1991,1
808,2.5,0,0,0,1,0,1,0,1,1656,1,0,1,0.0,0,5,135000,1916,1987,0
1224,3.0,1,0,0,1,2,2,0,1,1224,0,0,1,275.0,0,5,153337,1979,1979,0
1593,2.5,1,1,0,0,1,2,1,0,1593,1,1,0,0.0,0,8,286000,2001,2002,1
1549,2.5,0,0,0,0,2,2,0,1,2727,0,0,0,0.0,0,8,315000,1932,1994,1
725,2.5,0,0,0,1,0,2,1,0,1479,0,0,0,138.0,0,7,184000,1972,2004,1
1431,3.0,1,0,0,0,0,2,1,0,1431,1,0,0,0.0,0,7,192000,1999,1999,1
970,2.0,0,0,0,0,0,2,0,1,1709,1,0,0,50.0,0,7,130000,2004,2004,1
864,1.0,0,0,0,1,0,1,0,1,864,0,0,1,0.0,0,5,127000,1972,1972,0
855,2.5,0,0,0,1,1,2,0,1,1456,0,0,1,0.0,0,6,148500,1976,1976,0
1726,3.0,1,1,1,0,1,3,1,0,1726,1,1,0,205.0,0,7,311872,2007,2007,1
1360,3.5,1,0,0,0,1,2,0,1,3112,0,0,0,0.0,0,8,235000,1918,1990,1
929,1.0,0,0,0,1,0,0,0,0,2229,1,0,1,0.0,0,6,104000,1912,1950,1
1713,3.0,1,1,0,0,1,3,1,0,1713,1,1,0,262.0,1,8,274900,2004,2005,1
1121,2.0,0,0,0,1,0,2,0,0,1121,1,0,1,0.0,0,4,140000,2003,2004,1
1279,2.5,0,0,0,1,2,2,0,1,1279,0,0,1,0.0,0,6,171500,1977,1977,1
865,2.0,0,0,0,1,0,1,0,1,1310,0,0,1,0.0,0,6,112000,1924,1950,0
848,2.0,1,0,0,0,1,2,0,0,848,1,0,0,205.0,0,6,149000,2004,2004,0
720,1.5,0,0,0,1,0,1,0,1,1284,0,0,1,0.0,0,5,110000,1947,1950,1
1442,2.0,0,0,0,1,0,2,0,0,1442,1,0,1,0.0,0,7,180500,1990,1990,1
1696,1.5,0,0,0,1,1,1,0,0,1696,0,0,1,0.0,0,5,143900,1962,1962,1
1100,2.0,0,0,0,1,1,1,0,0,1100,0,0,1,0.0,0,4,141000,1960,1960,0
1180,3.5,1,0,0,0,1,2,1,0,2062,1,0,1,128.0,0,7,277000,1988,1989,1
1092,2.0,0,0,0,1,0,2,0,0,1092,1,0,1,260.0,0,6,145000,1964,1964,0
864,2.0,0,0,0,1,0,0,0,0,864,0,0,1,0.0,0,5,98000,1925,1950,0
1212,2.0,1,0,0,1,0,2,0,0,1212,1,0,0,0.0,0,6,186000,2009,2009,1
932,3.5,1,0,0,1,1,2,0,0,1852,1,0,0,0.0,0,7,252678,2009,2009,1
990,1.5,0,0,0,1,0,2,0,1,990,1,0,1,0.0,0,5,156000,1995,1995,0
689,1.5,1,0,0,1,0,1,1,0,1392,1,0,1,153.0,0,6,161750,1977,1977,1
1236,1.5,0,0,0,1,1,1,0,1,1236,0,0,0,64.0,0,5,134450,1957,1996,0
1436,3.0,1,0,0,0,0,2,0,1,1436,1,0,0,266.0,0,7,210000,2004,2004,1
810,1.0,0,0,0,1,0,1,0,1,1328,0,0,1,0.0,0,4,107000,1925,1950,1
1137,2.0,0,0,0,0,2,2,0,1,1954,1,0,0,312.0,0,7,311500,1939,2006,1
1248,2.0,1,0,0,0,0,2,1,0,1248,1,0,0,16.0,0,7,167240,2005,2006,0
1498,2.0,0,0,0,0,0,2,0,0,1498,1,0,0,0.0,0,7,204900,2006,2006,1
1010,2.5,0,0,0,0,1,2,0,0,2267,1,0,0,0.0,0,6,200000,2002,2002,1
811,3.5,0,0,0,1,1,2,0,0,1552,0,0,1,0.0,0,6,179900,1975,1975,1
864,1.0,0,0,0,1,0,2,0,1,864,0,0,1,0.0,0,4,97000,1971,1971,0
2392,2.0,1,1,1,0,1,3,1,0,2392,1,1,0,922.0,1,10,386250,2003,2003,1
630,2.5,0,0,0,1,0,1,0,1,1302,0,0,1,142.0,0,5,112000,1971,1971,0
1214,2.5,1,0,0,0,1,3,0,0,2520,1,0,0,290.0,0,7,290000,1995,1995,1
483,1.5,0,0,0,1,0,1,0,1,987,0,0,1,127.0,0,6,106000,1970,1970,0
912,1.0,0,0,0,1,1,1,0,1,912,0,0,1,0.0,0,5,125000,1967,1967,0
1555,2.0,1,0,0,0,1,2,1,0,1555,1,0,0,16.0,0,7,192500,2005,2006,1
1194,2.0,0,0,0,1,0,1,0,0,1194,0,0,1,220.0,0,6,148000,1959,1959,0
1490,3.5,1,0,0,0,1,3,1,0,2794,1,1,0,506.0,0,8,403000,1995,1996,1
483,1.5,0,0,0,1,1,1,0,1,987,0,0,1,297.0,0,6,94500,1972,1972,0
894,2.0,0,0,0,1,0,1,0,1,894,0,0,1,0.0,0,5,128200,1976,1976,0
860,3.5,1,0,0,0,2,2,1,0,1960,1,0,0,103.685261707989,0,6,216500,2002,2002,1
483,1.5,0,0,0,1,0,1,0,1,987,0,0,1,604.0,0,6,89500,1971,1971,0
1414,2.0,1,0,0,0,0,2,0,0,1414,1,0,0,98.0,0,7,185500,2004,2004,1
1014,2.5,0,0,0,0,0,2,0,0,1744,1,0,0,0.0,0,7,194500,1993,2003,1
1694,2.0,0,1,1,0,0,3,1,0,1694,1,0,0,254.0,1,8,318000,2007,2007,1
798,1.5,0,0,0,1,1,1,0,1,1487,0,0,1,0.0,0,6,113000,1945,1950,1
1566,3.0,1,0,0,0,0,2,0,0,1566,1,0,0,36.0,0,8,262500,2008,2008,1
866,1.0,0,0,0,1,0,0,0,0,866,0,0,0,0.0,0,5,110500,1945,1997,1
889,1.0,0,0,0,1,0,1,0,1,1440,0,0,1,0.0,0,5,79000,1900,1950,0
626,1.5,0,0,0,1,1,1,0,0,1217,0,0,1,0.0,0,6,120000,1980,1980,1
1222,3.5,1,0,0,0,2,2,0,0,2110,1,0,0,0.0,0,7,205000,1994,2002,1
1872,2.5,1,0,0,1,1,2,1,0,1872,0,0,1,102.0,0,7,241500,1988,1988,1
908,2.0,0,0,0,1,0,1,0,1,1928,0,0,0,0.0,0,6,137000,1910,1950,1
1375,1.0,0,0,0,1,1,2,0,1,1375,1,0,1,0.0,0,6,140000,1954,1954,1
840,2.5,0,0,0,0,0,2,0,0,1668,1,0,0,101.0,0,7,180000,2003,2003,1
1444,2.5,0,0,0,0,2,2,1,0,2144,0,0,0,472.0,0,6,277000,1958,2006,1
1306,1.0,0,0,0,1,0,0,0,0,1306,1,0,0,0.0,0,3,76500,1940,1966,0
1625,3.5,1,0,0,0,1,2,1,0,1625,1,0,0,481.0,0,8,235000,2006,2007,0
798,2.5,0,0,0,0,0,2,0,0,1640,1,0,0,0.0,0,6,173000,2004,2004,1
1302,2.5,0,0,0,1,0,1,0,0,1302,1,0,0,108.0,0,6,158000,1964,1991,0
1314,2.0,0,0,0,1,0,1,0,0,1314,0,0,1,0.0,0,5,145000,1957,1957,0
1005,2.5,0,0,0,0,1,2,1,0,2291,1,0,0,302.0,0,7,230000,1999,1999,0
864,2.5,0,0,0,0,0,2,0,0,1728,1,0,0,0.0,0,6,207500,2003,2003,1
1604,3.5,1,0,0,0,1,2,0,0,1604,1,0,0,180.0,0,7,220000,2006,2006,1
963,2.5,1,0,0,0,1,2,0,0,1792,1,0,0,172.0,0,7,231500,2001,2001,1
882,1.0,0,0,0,1,0,1,0,1,882,0,0,1,0.0,0,5,97000,1956,1956,1
1382,2.0,0,0,0,1,1,2,0,1,1382,0,0,1,399.0,0,6,176000,1962,1962,0
1482,2.5,0,1,0,0,1,3,1,0,2574,1,1,0,270.0,0,8,276000,2007,2007,1
1212,2.0,0,0,0,1,1,2,0,1,1212,0,0,1,46.0,0,6,151000,1977,1995,1
926,2.0,0,0,0,1,0,2,0,1,1316,0,0,1,0.0,0,5,130000,1929,2001,0
764,1.0,0,0,0,1,0,2,0,1,764,0,0,1,0.0,0,5,73000,1925,2004,0
1422,2.0,1,0,0,1,1,2,1,0,1422,0,0,0,210.0,0,6,175500,1981,1981,0
802,3.5,1,0,0,1,1,2,1,0,1511,0,0,1,0.0,0,6,185000,1997,1997,1
1052,2.5,0,0,0,1,1,1,0,1,2192,1,0,0,0.0,0,5,179500,1939,1997,1
778,1.0,0,0,0,1,1,1,1,0,778,1,0,1,0.0,0,5,120500,1940,1955,1
